client_id,birth_number,district_id,sex,age,age_range
1,706113,18,woman,70,8
3,406009,1,woman,40,5
4,561201,5,man,56,6
5,605703,5,woman,60,7
6,190922,12,man,19,2
7,290125,15,man,29,3
8,385221,51,woman,38,4
9,351016,60,man,35,4
10,430501,57,man,43,5
11,505822,57,woman,50,6
12,810220,40,man,81,9
13,745529,54,woman,74,8
14,425622,76,woman,42,5
15,185828,21,woman,18,2
16,190225,21,man,19,2
17,341013,76,man,34,4
18,315405,76,woman,31,4
19,421228,47,man,42,5
20,790104,46,man,79,8
21,526029,12,woman,52,6
22,696011,1,woman,69,7
23,730529,1,man,73,8
24,395729,43,woman,39,4
25,395423,21,woman,39,4
26,695420,74,woman,69,7
27,665326,54,woman,66,7
28,450929,1,man,45,5
29,515911,30,woman,51,6
30,576009,74,woman,57,6
31,620209,68,man,62,7
32,800728,52,man,80,9
33,486204,73,woman,48,5
36,785717,7,woman,78,8
37,700810,7,man,70,8
38,735723,36,woman,73,8
39,680125,68,man,68,7
40,575122,5,woman,57,6
41,680827,22,man,68,7
42,350817,68,man,35,4
43,201028,75,man,20,3
44,775111,38,woman,77,8
45,520826,20,man,52,6
46,405130,19,woman,40,5
47,340714,76,man,34,4
48,400209,16,man,40,5
49,595511,72,woman,59,6
50,785730,39,woman,78,8
51,796202,36,woman,79,8
52,241212,32,man,24,3
53,770505,64,man,77,8
55,485918,45,woman,48,5
56,600331,21,man,60,7
57,616217,21,woman,61,7
58,275429,1,woman,27,3
59,570218,1,man,57,6
60,800219,67,man,80,9
61,485806,16,woman,48,5
62,321208,77,man,32,4
63,590604,4,man,59,6
64,260422,20,man,26,3
65,435527,50,woman,43,5
66,516110,1,woman,51,6
67,326111,29,woman,32,4
68,461214,43,man,46,5
70,251222,70,man,25,3
71,275206,70,woman,27,3
72,230113,47,man,23,3
73,240220,22,man,24,3
74,255726,22,woman,25,3
75,775919,64,woman,77,8
76,676001,36,woman,67,7
77,565218,1,woman,56,6
78,445613,16,woman,44,5
79,695310,37,woman,69,7
80,795225,64,woman,79,8
81,760429,8,man,76,8
82,796225,8,woman,79,8
83,786225,1,woman,78,8
84,790505,1,man,79,8
85,610827,1,man,61,7
86,695720,1,woman,69,7
87,466117,72,woman,46,5
89,515505,1,woman,51,6
90,750817,52,man,75,8
91,400807,63,man,40,5
92,665612,74,woman,66,7
93,250216,3,man,25,3
94,470909,43,man,47,5
95,525803,43,woman,52,6
96,720229,74,man,72,8
97,651128,26,man,65,7
98,735504,33,woman,73,8
99,730126,33,man,73,8
100,425811,44,woman,42,5
101,430123,68,man,43,5
102,585910,74,woman,58,6
103,550711,74,man,55,6
105,800526,31,man,80,9
106,686230,68,woman,68,7
107,720623,1,man,72,8
108,630913,17,man,63,7
110,675413,2,woman,67,7
112,350125,1,man,35,4
113,405815,1,woman,40,5
114,695624,74,woman,69,7
115,691224,74,man,69,7
116,420128,74,man,42,5
117,365920,74,woman,36,4
118,220719,55,man,22,3
119,225228,55,woman,22,3
120,760510,1,man,76,8
121,786029,41,woman,78,8
122,636113,35,woman,63,7
123,690212,11,man,69,7
124,670921,44,man,67,7
125,361031,37,man,36,4
126,295927,37,woman,29,3
127,506227,21,woman,50,6
128,735404,63,woman,73,8
129,475531,64,woman,47,5
130,420214,53,man,42,5
131,775131,53,woman,77,8
132,530126,36,man,53,6
134,320118,6,man,32,4
135,385910,6,woman,38,4
136,215126,55,woman,21,3
137,230914,60,man,23,3
138,726021,54,woman,72,8
139,595725,8,woman,59,6
140,610606,8,man,61,7
141,251102,31,man,25,3
142,370621,68,man,37,4
143,780709,27,man,78,8
144,581206,65,man,58,6
145,780214,55,man,78,8
146,616219,31,woman,61,7
147,336102,21,woman,33,4
148,401225,21,man,40,5
149,480627,55,man,48,5
150,805927,2,woman,80,9
151,715923,51,woman,71,8
152,456202,29,woman,45,5
153,815212,13,woman,81,9
154,330827,74,man,33,4
155,395313,74,woman,39,4
156,305722,54,woman,30,4
157,435709,52,woman,43,5
158,455703,40,woman,45,5
159,380910,40,man,38,4
160,425426,64,woman,42,5
161,436007,34,woman,43,5
162,411017,65,man,41,5
163,330612,74,man,33,4
164,625404,70,woman,62,7
165,681108,22,man,68,7
166,616022,22,woman,61,7
167,785418,38,woman,78,8
168,766105,24,woman,76,8
169,530912,38,man,53,6
170,465616,38,woman,46,5
171,290625,51,man,29,3
172,356005,51,woman,35,4
173,186208,21,woman,18,2
174,781110,10,man,78,8
175,600713,31,man,60,7
176,290311,4,man,29,3
178,601222,8,man,60,7
179,801229,43,man,80,9
180,820119,73,man,82,9
181,670706,76,man,67,7
182,595713,76,woman,59,6
183,785319,1,woman,78,8
184,720605,1,man,72,8
185,540530,77,man,54,6
186,615222,46,woman,61,7
187,420823,58,man,42,5
188,600902,64,man,60,7
189,190810,11,man,19,2
190,476031,37,woman,47,5
191,540903,37,man,54,6
192,710228,70,man,71,8
193,620501,1,man,62,7
194,246220,28,woman,24,3
195,191118,74,man,19,2
196,275625,74,woman,27,3
197,330425,30,man,33,4
198,760714,60,man,76,8
199,230621,29,man,23,3
200,285113,29,woman,28,3
201,305819,17,woman,30,4
202,766121,29,woman,76,8
203,620610,31,man,62,7
204,675617,31,woman,67,7
205,425615,4,woman,42,5
206,635413,59,woman,63,7
207,320520,46,man,32,4
208,405625,13,woman,40,5
209,350820,13,man,35,4
210,391130,66,man,39,4
211,455628,66,woman,45,5
212,750210,52,man,75,8
215,670924,71,man,67,7
216,600130,1,man,60,7
217,746222,59,woman,74,8
218,805123,1,woman,80,9
219,645402,60,woman,64,7
221,775225,21,woman,77,8
222,725629,47,woman,72,8
223,525227,43,woman,52,6
224,550511,77,man,55,6
225,360510,32,man,36,4
226,420616,1,man,42,5
227,266218,52,woman,26,3
228,565316,48,woman,56,6
229,690722,76,man,69,7
230,675310,74,woman,67,7
231,410218,41,man,41,5
232,215617,55,woman,21,3
233,586203,69,woman,58,6
234,550621,69,man,55,6
235,435828,44,woman,43,5
236,610901,70,man,61,7
237,695222,70,woman,69,7
238,616128,6,woman,61,7
239,745910,1,woman,74,8
240,295617,34,woman,29,3
241,590123,70,man,59,6
242,615801,17,woman,61,7
243,540210,63,man,54,6
246,706228,67,woman,70,8
247,570508,1,man,57,6
248,696212,61,woman,69,7
249,700505,61,man,70,8
250,796125,8,woman,79,8
251,765303,54,woman,76,8
252,695901,37,woman,69,7
253,475512,48,woman,47,5
254,630530,28,man,63,7
255,516011,27,woman,51,6
256,635227,73,woman,63,7
257,426104,22,woman,42,5
258,370531,22,man,37,4
259,660608,31,man,66,7
260,625224,31,woman,62,7
261,376207,38,woman,37,4
262,451125,77,man,45,5
263,620520,68,man,62,7
264,780822,28,man,78,8
265,335107,72,woman,33,4
266,675828,19,woman,67,7
267,670612,37,man,67,7
268,825502,39,woman,82,9
269,236203,15,woman,23,3
270,470308,46,man,47,5
271,455727,46,woman,45,5
272,446025,70,woman,44,5
273,725515,27,woman,72,8
274,706125,17,woman,70,8
275,186112,1,woman,18,2
276,570611,1,man,57,6
277,616128,1,woman,61,7
278,726227,22,woman,72,8
279,700516,22,man,70,8
280,696218,45,woman,69,7
282,385224,73,woman,38,4
283,331104,73,man,33,4
284,740806,10,man,74,8
285,540603,72,man,54,6
286,525418,72,woman,52,6
287,800909,50,man,80,9
288,620421,6,man,62,7
289,580327,54,man,58,6
290,590112,72,man,59,6
291,555427,72,woman,55,6
292,585906,15,woman,58,6
293,430927,69,man,43,5
294,680321,58,man,68,7
295,390327,12,man,39,4
296,740301,65,man,74,8
297,245315,65,woman,24,3
298,210613,65,man,21,3
300,575730,1,woman,57,6
301,420110,28,man,42,5
302,710223,56,man,71,8
303,460506,74,man,46,5
304,345311,19,woman,34,4
305,380608,46,man,38,4
308,765612,68,woman,76,8
309,696214,37,woman,69,7
310,500416,11,man,50,6
311,305916,64,woman,30,4
312,240703,2,man,24,3
313,425511,24,woman,42,5
314,450322,24,man,45,5
315,670501,54,man,67,7
316,550428,75,man,55,6
317,576006,64,woman,57,6
318,435402,15,woman,43,5
319,295404,19,woman,29,3
320,341112,19,man,34,4
321,436024,47,woman,43,5
322,330201,38,man,33,4
323,385404,38,woman,38,4
324,601203,3,man,60,7
325,600221,3,man,60,7
326,675918,27,woman,67,7
327,681013,27,man,68,7
328,185124,1,woman,18,2
329,641203,11,man,64,7
330,445805,65,woman,44,5
331,420302,1,man,42,5
332,780725,29,man,78,8
333,711019,38,man,71,8
334,691031,32,man,69,7
335,675722,73,woman,67,7
336,645211,39,woman,64,7
337,570508,39,man,57,6
338,515619,8,woman,51,6
339,660730,1,man,66,7
340,705819,1,woman,70,8
341,770316,69,man,77,8
342,725630,69,woman,72,8
343,191119,44,man,19,2
344,635716,54,woman,63,7
345,531207,17,man,53,6
346,606102,17,woman,60,7
347,591213,71,man,59,6
348,535124,71,woman,53,6
349,275527,39,woman,27,3
350,255402,25,woman,25,3
351,730501,1,man,73,8
352,400827,56,man,40,5
353,651026,7,man,65,7
354,225427,49,woman,22,3
355,300531,49,man,30,4
356,796207,1,woman,79,8
357,790330,1,man,79,8
358,595626,7,woman,59,6
359,700216,66,man,70,8
360,430427,49,man,43,5
361,775525,74,woman,77,8
362,505427,35,woman,50,6
363,420701,35,man,42,5
364,426205,54,woman,42,5
365,300109,1,man,30,4
366,366110,1,woman,36,4
367,635903,60,woman,63,7
368,681014,60,man,68,7
369,306106,7,woman,30,4
370,565105,71,woman,56,6
371,420716,4,man,42,5
372,320403,34,man,32,4
373,360228,16,man,36,4
374,670614,26,man,67,7
375,695929,61,woman,69,7
376,735108,14,woman,73,8
378,780515,50,man,78,8
379,836013,50,woman,83,9
380,730119,41,man,73,8
381,775126,73,woman,77,8
382,780630,73,man,78,8
383,395517,15,woman,39,4
384,351008,15,man,35,4
385,480324,45,man,48,5
386,800821,62,man,80,9
387,270606,76,man,27,3
388,506030,36,woman,50,6
389,745630,47,woman,74,8
390,775127,47,woman,77,8
391,335522,47,woman,33,4
392,505401,74,woman,50,6
393,560831,74,man,56,6
394,245518,52,woman,24,3
395,190705,52,man,19,2
396,200502,1,man,20,3
397,300327,75,man,30,4
398,255326,61,woman,25,3
399,520414,45,man,52,6
400,331227,1,man,33,4
401,286119,1,woman,28,3
402,431225,3,man,43,5
403,735526,42,woman,73,8
404,670420,42,man,67,7
405,346019,65,woman,34,4
406,770515,36,man,77,8
407,755527,73,woman,75,8
408,785222,35,woman,78,8
409,250618,74,man,25,3
410,621220,62,man,62,7
411,415414,17,woman,41,5
412,440417,17,man,44,5
413,726118,49,woman,72,8
414,476019,46,woman,47,5
415,450401,46,man,45,5
416,326007,1,woman,32,4
417,300610,1,man,30,4
418,661013,28,man,66,7
419,706007,64,woman,70,8
420,780313,18,man,78,8
421,650731,54,man,65,7
422,461207,69,man,46,5
